review_year,compound_score,genre,num_reviews
2000,0.19472188006482982,art,617
2001,0.20936255102040816,art,980
2002,0.19141917973462003,art,829
2003,0.2361285140562249,art,996
2004,0.1757378787878788,art,726
2005,0.17164599341383094,art,911
2006,0.1542958174904943,art,789
2007,0.23199823380992432,art,1189
2008,0.20723075060532686,art,1239
2009,0.1991610354223433,art,2202
2010,0.1469141400407886,art,1471
2011,0.16346935914552738,art,1498
2012,0.20257541371158394,art,846
2013,0.17927556440903053,art,753
2014,0.17261780604133545,art,629
2015,0.18516454121306378,art,643
2016,0.23333134130146083,art,753
2017,0.181792776203966,art,706
2018,0.23068177083333333,art,960
2019,0.23154941785252262,art,773
2020,0.18882967741935486,art,465
