review_year,compound_score,genre,num_reviews
2000,0.34127142857142856,faith,7
2001,0.23876,faith,5
2002,0.3144294117647059,faith,17
2003,0.13612611940298508,faith,134
2004,0.23553333333333334,faith,21
2005,0.008349999999999993,faith,34
2006,0.30239130434782613,faith,69
2007,0.2887130434782609,faith,23
2008,0.40040000000000003,faith,12
2009,0.1785923076923077,faith,13
2010,0.048117073170731696,faith,41
2011,0.22212,faith,10
2012,0.04422000000000004,faith,5
2013,0.28299576271186444,faith,118
2014,0.560875,faith,4
2015,0.03174999999999999,faith,8
2016,-0.2057,faith,1
2017,0.633475,faith,4
2018,0.22458333333333336,faith,6
2019,0.05613333333333334,faith,12
2020,-0.033454545454545466,faith,11
