review_year,compound_score,genre,num_reviews
2000,0.2627798387096774,musical,372
2001,0.27294912280701755,musical,171
2002,0.23719489436619717,musical,568
2003,0.3112905429071804,musical,571
2004,0.22960412926391383,musical,557
2005,0.27814119658119657,musical,585
2006,0.22457557471264367,musical,696
2007,0.2698369439071567,musical,517
2008,0.2764403269754768,musical,734
2009,0.30922531791907515,musical,865
2010,0.2863746300211416,musical,473
2011,0.35965080906148866,musical,309
2012,0.3566786956521739,musical,230
2013,0.30374659300184165,musical,543
2014,0.30543381818181814,musical,550
2015,0.23622067307692307,musical,416
2016,0.30092602040816324,musical,196
2017,0.42370554272517325,musical,433
2018,0.33069686746987953,musical,415
2019,0.2877491869918699,musical,738
2020,0.24100653846153847,musical,260
