review_year,compound_score,genre,num_reviews
2000,0.31877826086956523,television,23
2001,0.004828431372549026,television,102
2002,0.27581666666666665,television,42
2003,0.2520071428571428,television,28
2004,0.2713035714285714,television,28
2005,0.13498653846153846,television,156
2006,0.18749285714285713,television,28
2007,0.23058541666666665,television,48
2008,0.26112857142857143,television,98
2009,0.2828057553956835,television,139
2010,0.21380277777777779,television,144
2011,0.3134673076923077,television,156
2012,0.3491876190476191,television,105
2013,0.4222762711864407,television,118
2014,0.08401999999999998,television,20
2015,0.3515589743589743,television,39
2016,0.36638000000000004,television,10
2017,0.24685714285714286,television,21
2018,0.3263974358974359,television,78
2019,0.3262148648648649,television,74
2020,0.22477254901960783,television,51
