review_year,compound_score,genre,num_reviews
2000,0.1877306196840826,scifi,1646
2001,0.18445190751445087,scifi,865
2002,0.15887290686735653,scifi,1063
2003,0.15542269230769232,scifi,1040
2004,0.12996385542168676,scifi,664
2005,0.19129835418038182,scifi,1519
2006,0.18105388669301714,scifi,759
2007,0.16634951965065503,scifi,1145
2008,0.14718911253430925,scifi,1093
2009,0.18664466313398942,scifi,2642
2010,0.1885500670540903,scifi,2237
2011,0.18273001700680272,scifi,1176
2012,0.1582863764044944,scifi,712
2013,0.1904902390438247,scifi,1004
2014,0.23000844748858448,scifi,876
2015,0.32808282694848084,scifi,757
2016,0.21911594202898552,scifi,1863
2017,0.2682243967828418,scifi,1492
2018,0.28407186385737443,scifi,3085
2019,0.3315008165829145,scifi,3184
2020,0.26956240544629345,scifi,1322
