review_year,compound_score,genre,num_reviews
2000,0.13417105263157897,documentary,152
2001,0.3983313725490196,documentary,51
2002,0.08864484412470024,documentary,417
2003,0.2183910746812386,documentary,549
2004,0.1560757078986587,documentary,671
2005,0.22091028938906754,documentary,622
2006,0.17987776717557252,documentary,1048
2007,0.12436036809815951,documentary,815
2008,0.2511017137960583,documentary,1167
2009,0.21238143674507312,documentary,1573
2010,0.18295368898978434,documentary,881
2011,0.28842348643006266,documentary,958
2012,0.14857417840375586,documentary,852
2013,0.19165154091392136,documentary,941
2014,0.20484625550660795,documentary,681
2015,0.21508216482164821,documentary,813
2016,0.17716832460732987,documentary,382
2017,0.24360900537634408,documentary,744
2018,0.23802748091603054,documentary,524
2019,0.34657546728971966,documentary,856
2020,0.2657915951972556,documentary,583
