review_year,compound_score,genre,num_reviews
2000,0.026931566640685894,horror,1283
2001,0.031038227146814406,horror,361
2002,0.04543083538083538,horror,814
2003,0.021086946107784433,horror,835
2004,0.06063093922651933,horror,724
2005,-0.03420325203252032,horror,1107
2006,0.036589689440993785,horror,805
2007,-0.00039062499999999997,horror,1152
2008,-0.04433406352683461,horror,913
2009,-0.03469519595448799,horror,1582
2010,0.046445159194282,horror,1539
2011,-0.01356890951276102,horror,431
2012,0.03947265917602997,horror,534
2013,0.016691527446300716,horror,838
2014,0.014560070052539408,horror,571
2015,0.06052076372315036,horror,419
2016,-0.04628214876033058,horror,605
2017,0.041178288100208765,horror,479
2018,0.08207914572864321,horror,1194
2019,0.058790622406639,horror,1205
2020,0.03321729530818767,horror,1087
