rotten_tomatoes_link,movie_title,year_of_release,year_of_streaming_release,tomatometer_status,audience_status,genre_list
m/0814255,Percy Jackson & the Olympians: The Lightning Thief,2010,2015,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Drama', 'Science Fiction & Fantasy']"
m/0878835,Please Give,2010,2012,Certified-Fresh,Upright,['Comedy']
m/10,10,1979,2014,Fresh,Spilled,"['Comedy', 'Romance']"
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),1957,2017,Certified-Fresh,Upright,"['Classics', 'Drama']"
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",1954,2016,Fresh,Upright,"['Action & Adventure', 'Drama', 'Kids & Family']"
m/10000_bc,"10,000 B.C.",2008,2013,Rotten,Spilled,"['Action & Adventure', 'Classics', 'Drama']"
m/1000121-39_steps,The 39 Steps,1935,2017,Certified-Fresh,Upright,"['Action & Adventure', 'Classics', 'Mystery & Suspense']"
m/1000123-310_to_yuma,3:10 to Yuma,1957,2012,Fresh,Upright,"['Classics', 'Drama', 'Western']"
m/10002008-charly,Charly (A Heartbeat Away),2002,2017,Rotten,Upright,"['Comedy', 'Drama', 'Romance']"
m/1000204-abraham_lincoln,Abraham Lincoln,1930,2013,Fresh,Spilled,"['Classics', 'Drama']"
m/10002114-dark_water,Dark Water,2002,2017,Fresh,Upright,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/1000224-accused,The Accused,1988,2016,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/10002516-lost_city,The Lost City,2005,2017,Rotten,Upright,['Drama']
m/10002519-breaking_point,The Breaking Point,1950,2016,Fresh,Upright,['Drama']
m/1000253-adams_rib,Adam's Rib,1949,2008,Fresh,Upright,"['Classics', 'Comedy', 'Romance']"
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,2005,2014,Rotten,Spilled,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002673-prowler,The Prowler (Cost of Living ),1951,2016,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/10003276-criminal,Criminal,2004,2016,Fresh,Spilled,"['Drama', 'Mystery & Suspense']"
m/1000334-adventures_of_mark_twain,The Adventures of Mark Twain,1985,2017,Fresh,Upright,"['Action & Adventure', 'Animation', 'Kids & Family']"
m/10003437-deep_blue,Deep Blue,2005,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,1938,2014,Certified-Fresh,Upright,"['Action & Adventure', 'Classics', 'Romance']"
m/10003876-man_hunt,Man Hunt,1941,2014,Fresh,Upright,"['Classics', 'Drama', 'Mystery & Suspense']"
m/10003925-dead_end,Dead End,2003,2018,Fresh,Upright,"['Comedy', 'Horror', 'Mystery & Suspense']"
m/10004050-bandwagon,Bandwagon,1997,0,Fresh,Upright,['Comedy']
m/10004069-whore,Whore,2004,2014,Rotten,Upright,"['Art House & International', 'Drama']"
m/10004209-tristan_and_isolde,Tristan & Isolde,2006,2015,Rotten,Upright,"['Drama', 'Science Fiction & Fantasy', 'Romance']"
m/10004226-wild_side,Wild Side,2005,2005,Fresh,Upright,"['Art House & International', 'Drama']"
m/10004232-10004232-tale_of_two_pizzas,A Tale of Two Pizzas,2003,2018,Rotten,,['Comedy']
m/10004288-running_scared,Running Scared,2006,2008,Rotten,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
m/10004352-going_the_distance,Going the Distance,2004,2017,Rotten,Upright,['Comedy']
m/10004504-ultraviolet,Ultraviolet,2006,2012,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Horror', 'Science Fiction & Fantasy']"
m/10004635-home_of_the_brave,Home of the Brave,2004,2016,Fresh,Spilled,"['Action & Adventure', 'Documentary', 'Drama', 'Special Interest']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),2007,2016,Rotten,Spilled,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004684-malevolence,Malevolence,2004,2017,Rotten,Upright,['Horror']
m/10004697-eternal,Eternal,2004,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
m/10004835-farewell_to_arms,A Farewell To Arms,1957,2012,Rotten,Spilled,"['Classics', 'Drama', 'Romance']"
m/10004890-narrow_margin,The Narrow Margin,1952,2012,Fresh,Upright,"['Classics', 'Drama', 'Mystery & Suspense']"
m/10004925-matador,The Matador,2006,2016,Certified-Fresh,Upright,"['Action & Adventure', 'Comedy', 'Drama', 'Mystery & Suspense']"
m/10005057-smile,Smile,2005,2016,Rotten,Upright,"['Art House & International', 'Comedy', 'Drama']"
m/10005104-intruder,The Intruder (L'Intrus),2005,2006,Fresh,Upright,"['Art House & International', 'Drama']"
m/10005178-saint_ralph,Saint Ralph,2005,2017,Fresh,Upright,"['Comedy', 'Drama']"
m/10005403-the_baxter,The Baxter,2005,2018,Rotten,Upright,"['Comedy', 'Romance']"
m/10005499-oliver_twist,Oliver Twist,2005,2012,Fresh,Upright,"['Drama', 'Kids & Family']"
m/1000560-alamo,The Alamo,1960,2016,Rotten,Upright,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/10005755-g,G,2005,2018,Rotten,Upright,"['Drama', 'Romance']"
m/1000580-alexander_the_great,Alexander the Great,1956,2017,Rotten,Spilled,['Classics']
m/1000581-alfie,Alfie,1966,2013,Fresh,Upright,"['Classics', 'Comedy', 'Drama', 'Romance']"
m/10005819-10005819-neverwas,Neverwas,2005,2016,Rotten,Upright,"['Drama', 'Mystery & Suspense']"
m/10006007-the_second_chance,The Second Chance,2006,2006,Rotten,Upright,"['Drama', 'Faith & Spirituality']"
m/10006057-moonlight,Moonlight,2003,2020,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/1000617-aliens,Aliens,1986,2015,Certified-Fresh,Upright,"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']"
m/10006188-rise,Rise: Blood Hunter,2007,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
m/1000626-all_about_eve,All About Eve,1950,2015,Certified-Fresh,Upright,"['Classics', 'Drama']"
m/10006270,When Do We Eat?,2006,2017,Rotten,Upright,['Comedy']
m/10006324,The Mostly Unfabulous Social Life of Ethan Green,2006,2017,Rotten,Spilled,"['Comedy', 'Drama']"
m/10006343-dirty,Dirty,2006,2012,Rotten,Spilled,['Drama']
m/10006370-stay_alive,Stay Alive,2006,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
m/1000640-all_of_me,All of Me,1984,2016,Certified-Fresh,Upright,"['Comedy', 'Science Fiction & Fantasy']"
m/1000643-all_quiet_on_the_western_front,All Quiet on the Western Front,0,2018,Fresh,Upright,['Drama']
m/10006434-dreamland,Dreamland,2006,2012,Fresh,Upright,"['Art House & International', 'Drama']"
m/10006485-black_gold,Independent Lens,2006,2007,Certified-Fresh,Upright,"['Documentary', 'Special Interest']"
m/1000654-all_the_kings_men,All the King's Men,1949,2013,Certified-Fresh,Upright,"['Classics', 'Drama']"
m/10006588-street_fight,Street Fight,2005,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
m/10006780-lost_horizon,Lost Horizon,1973,2015,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy']"
m/10006848-the_motel,The Motel,2005,2017,Fresh,Upright,"['Comedy', 'Drama']"
m/10006849-once_in_a_lifetime,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,2006,2016,Certified-Fresh,Upright,"['Documentary', 'Sports & Fitness']"
m/10006856-requiem,Requiem,2006,2017,Fresh,Upright,"['Art House & International', 'Drama', 'Horror', 'Mystery & Suspense']"
m/10006940-silk,Gui si (Silk),2006,2015,Rotten,Spilled,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/10007139-park,Park,2006,2017,Rotten,Spilled,"['Art House & International', 'Comedy', 'Drama']"
m/10007142-the_4th_dimension,The 4th Dimension,2006,2017,Fresh,Spilled,"['Drama', 'Science Fiction & Fantasy']"
m/10007333-bon_cop_bad_cop,"Bon Cop, Bad Cop",2006,2017,Fresh,Upright,"['Action & Adventure', 'Comedy']"
m/10007415-amazing_grace,Amazing Grace,2007,2015,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/10007538-silence,The Silence,0,2016,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Television']"
m/10007598-cocaine_cowboys,Cocaine Cowboys,2006,2016,Fresh,Upright,['Documentary']
m/10007614-gone,Gone,2007,2014,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
m/10007714-situation,The Situation,2006,2007,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/10007821-snow_blind,Snow Blind,2006,2017,Rotten,,"['Documentary', 'Sports & Fitness']"
m/10007856-four_sheets_to_the_wind,Four Sheets to the Wind,2007,2016,Fresh,Upright,"['Art House & International', 'Drama']"
m/10007886-the_tigers_tail,The Tiger's Tail,2006,2016,Rotten,Spilled,"['Comedy', 'Drama', 'Mystery & Suspense']"
m/10007893-its_a_boy_girl_thing,It's a Boy Girl Thing,2006,2016,Fresh,Upright,"['Comedy', 'Romance']"
m/10007898-slipstream,Slipstream,2007,2012,Rotten,Spilled,"['Art House & International', 'Comedy', 'Drama', 'Science Fiction & Fantasy']"
m/10007902-delirious,Delirious,2007,2020,Certified-Fresh,Spilled,"['Comedy', 'Drama']"
m/10007916_interview,Interview,2007,2012,Rotten,Spilled,"['Art House & International', 'Drama']"
m/1000792-american_anthem,American Anthem,1986,2013,Rotten,Upright,"['Action & Adventure', 'Documentary', 'Drama']"
m/10007947-ten,The Ten,2007,2016,Rotten,Spilled,['Comedy']
m/10007985-happening,The Happening,2008,2015,Rotten,Spilled,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
m/10008005-moliere,Molière,2007,2014,Fresh,Upright,['Comedy']
m/10008126-straightheads,Straightheads (Closure),2007,2012,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/10008140-borderland,Borderland,2007,2016,Fresh,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
m/10008200-spiral,Spiral,2007,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/10008234-alexandra,Alexandra,2007,2015,Certified-Fresh,Upright,['Drama']
m/10008390_blood_and_tears,Blood and Tears: The Arab-Israeli Conflict,2007,2007,Rotten,Spilled,['Documentary']
m/10008423-cool_school,The Cool School,2008,2017,Fresh,Upright,"['Documentary', 'Musical & Performing Arts']"
m/10008496-pathology,Pathology,2008,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/10008502-christmas_carol,Disney's A Christmas Carol,2009,2015,Rotten,Spilled,"['Animation', 'Drama', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10008507-deep_water,Deep Water,2006,2017,Certified-Fresh,Upright,"['Documentary', 'Special Interest']"
m/10008562-road_to_victory,Road to Victory,2007,2016,Fresh,Upright,"['Art House & International', 'Drama', 'Sports & Fitness']"
m/10008587-beverly_hills_chihuahua,Beverly Hills Chihuahua,2008,2015,Rotten,Spilled,['Comedy']
m/10008601-fireflies_in_the_garden,Fireflies in the Garden,2011,2014,Rotten,Spilled,['Drama']
m/10008606-eye,The Eye,2008,2016,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
m/10008607-day_of_the_dead,Day of the Dead,2008,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
m/10008611-my_best_friends_girl,My Best Friend's Girl,2008,2016,Rotten,Spilled,"['Comedy', 'Drama']"
m/10008613-burrowers,The Burrowers,2008,2016,Fresh,Spilled,"['Horror', 'Mystery & Suspense', 'Western']"
m/10008617-midnight_meat_train,The Midnight Meat Train,2008,2016,Fresh,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
m/10008618-return,The Lucky Ones,2008,2016,Rotten,Spilled,"['Comedy', 'Drama']"
m/10008621-run_fat_boy_run,Run Fatboy Run,2007,2010,Rotten,Upright,['Comedy']
m/10008652-closing_escrow,Closing Escrow,2007,2016,Rotten,Spilled,['Comedy']
m/10008655-whiteout,Whiteout,2009,2011,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
m/10008661-randy_and_the_mob,Randy and the Mob,2007,2017,Rotten,Spilled,"['Comedy', 'Documentary']"
m/10008667-black_irish,Black Irish,2007,2020,Rotten,Spilled,['Drama']
m/10008678-wild_child,Wild Child,2008,2014,Rotten,Upright,['Comedy']
m/10008687-powder_blue,Powder Blue,2009,2017,Rotten,Spilled,['Drama']
m/10008698-king_corn,King Corn,2007,2016,Fresh,Upright,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
m/10008699-terrors_advocate,L' Avocat de la Terreur (Terror's Advocate),2007,2016,Certified-Fresh,Upright,"['Art House & International', 'Documentary', 'Special Interest']"
m/10008700-darfur_now,Darfur Now,2007,2008,Fresh,Upright,"['Documentary', 'Drama', 'Musical & Performing Arts', 'Special Interest']"
m/10008701-laaga_chunari_mein_daag,Laaga Chunari Mein Daag - Journey of a Woman,2007,2017,Rotten,Spilled,"['Art House & International', 'Drama']"
m/10008703-rails_and_ties,Rails & Ties,2007,2009,Rotten,Spilled,['Drama']
m/10008705-mr_untouchable,Mr. Untouchable,2007,2017,Fresh,Spilled,['Documentary']
m/10008706-house,House,2008,2016,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
m/10008744-canvas,Canvas,2007,2016,Fresh,Upright,['Drama']
m/10008747-skid_row,Skid Row,2007,2016,Fresh,Spilled,"['Documentary', 'Special Interest']"
m/10008748-saawariya,Saawariya,2007,2012,Rotten,Spilled,"['Art House & International', 'Drama', 'Musical & Performing Arts', 'Romance']"
m/10008752-aaja_nachle,Aaja Nachle,2007,2017,Fresh,Upright,"['Art House & International', 'Drama', 'Musical & Performing Arts', 'Romance']"
m/10008754-flawless,Flawless,2008,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/10008760-what_happens_in_vegas,What Happens in Vegas,2008,2012,Rotten,Upright,"['Comedy', 'Romance']"
m/10008785-appaloosa,Appaloosa,2008,2010,Certified-Fresh,Spilled,"['Action & Adventure', 'Western']"
m/10008786-good,Good,2008,2016,Rotten,Spilled,['Drama']
m/10008820-visitor,The Visitor,2008,2017,Certified-Fresh,Upright,['Drama']
m/10008830-bill,Meet Bill,2008,2016,Rotten,Spilled,['Comedy']
m/10008849-married_life,Married Life,2008,2014,Rotten,Spilled,"['Comedy', 'Drama', 'Mystery & Suspense', 'Romance']"
m/10008856-badland,Badland,2007,2017,Rotten,Spilled,['Drama']
m/10008924-oxford_murders,The Oxford Murders,2010,2017,Rotten,Spilled,"['Art House & International', 'Drama', 'Horror', 'Mystery & Suspense']"
m/10008954-untraceable,Untraceable,2008,2012,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
m/10008991-informers,The Informers,2009,2012,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/10008992-meeting_resistance,Meeting Resistance,2007,2008,Fresh,Spilled,"['Documentary', 'Special Interest']"
m/10009001-the_freshman,The Freshman,1990,2013,Certified-Fresh,Upright,"['Comedy', 'Drama']"
m/10009005-a_bloody_aria,Guta-yubalja-deul (A Bloody Aria),2006,2017,Rotten,Spilled,"['Art House & International', 'Drama', 'Mystery & Suspense']"
m/10009029-kenny,Kenny,2008,2020,Fresh,Upright,['Comedy']
m/10009055-rocker,The Rocker,2008,2015,Rotten,Spilled,"['Comedy', 'Drama']"
m/10009063-perfect_holiday,The Perfect Holiday,2007,2012,Rotten,Spilled,"['Kids & Family', 'Romance']"
m/10009066-la_graine_et_le_mulet,La Graine et le Mulet (The Secret of the Grain) (Couscous),2007,2017,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
m/10009083-land_of_the_lost,Land of the Lost,2009,2015,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']"
m/10009132-rec,[Rec],2007,2012,Fresh,Upright,"['Art House & International', 'Horror', 'Special Interest']"
m/10009138-look,Look,2007,2009,Fresh,Spilled,"['Comedy', 'Drama']"
m/1000915-and_god_created_woman,And God Created Woman,1988,2016,Rotten,Spilled,"['Classics', 'Comedy', 'Drama', 'Romance']"
m/10009151-box,The Box,2009,2011,Rotten,Spilled,"['Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
m/10009169-man_in_the_chair,Man in the Chair,2007,2016,Rotten,Upright,"['Comedy', 'Drama']"
m/10009172-undoing,Undoing,2006,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/10009176-black_water,Black Water,2008,2012,Fresh,Spilled,"['Horror', 'Mystery & Suspense']"
m/10009192-21,21,2008,2012,Rotten,Upright,"['Drama', 'Mystery & Suspense']"
m/10009210-duchess_of_langeais,The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),2007,2017,Fresh,Spilled,"['Art House & International', 'Drama', 'Romance']"
m/10009212-ben_x,Ben X,2007,2017,Fresh,Upright,"['Art House & International', 'Drama', 'Mystery & Suspense']"
m/10009225-body_of_lies,Body of Lies,2008,2010,Rotten,Upright,"['Drama', 'Mystery & Suspense']"
m/10009239-passengers,Passengers,2008,2014,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/10009244-the_grand,The Grand,2008,2015,Rotten,Spilled,['Comedy']
m/10009253-the_hammer,The Hammer,2007,2016,Certified-Fresh,Upright,['Comedy']
m/10009254-shutter,Shutter,2008,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
m/10009274-priest,Priest,2011,2012,Rotten,Spilled,"['Action & Adventure', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy', 'Western']"
m/10009323-broken,The Broken,0,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
m/10009334-the_escapist,The Escapist,2008,2017,Fresh,Upright,"['Art House & International', 'Mystery & Suspense']"
m/10009355-sugar,Sugar,2008,2012,Certified-Fresh,Upright,"['Drama', 'Sports & Fitness']"
m/10009420-quid_pro_quo,Quid Pro Quo,2008,2016,Fresh,Spilled,"['Drama', 'Mystery & Suspense']"
m/10009421-red,Red,2008,2016,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/10009426-guitar,The Guitar,2008,2009,Rotten,Spilled,['Drama']
m/10009460-the_road,The Road,2009,2012,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
m/10009462-g_force,G-Force,2009,2016,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10009469-the_other_man,The Other Man,2008,2017,Rotten,Spilled,['Drama']
m/10009493-duchess,The Duchess,2008,2017,Fresh,Upright,['Drama']
m/10009516-women,The Women,2008,2010,Rotten,Spilled,"['Comedy', 'Drama']"
m/10009526-public_enemies,Public Enemies,2009,2015,Fresh,Spilled,"['Action & Adventure', 'Drama']"
m/10009547-night_and_day,Night and Day (Bam gua nat),2009,0,Fresh,Upright,"['Art House & International', 'Drama']"
m/10009552-julia,Julia,2009,2013,Certified-Fresh,Upright,"['Art House & International', 'Drama', 'Mystery & Suspense']"
m/1000957-angel_and_the_badman,Angel and the Badman,1947,2016,Fresh,Upright,"['Classics', 'Western', 'Romance']"
m/10009583-fade_to_black,Fade to Black,2006,2017,Rotten,Spilled,['Mystery & Suspense']
m/1000959-angel_heart,Angel Heart,1987,2016,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/10009596-old_dogs,Old Dogs,2009,2016,Rotten,Spilled,"['Comedy', 'Drama', 'Kids & Family']"
m/10009598-surrogates,Surrogates,2009,2016,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
m/10009624-promotion,The Promotion,2008,2016,Rotten,Spilled,['Comedy']
m/10009632-notorious,Notorious,2009,2015,Rotten,Upright,"['Drama', 'Musical & Performing Arts']"
m/10009635-soul_men,Soul Men,2008,2017,Rotten,Spilled,"['Comedy', 'Musical & Performing Arts']"
m/10009636-igor,Igor,2008,2017,Rotten,Spilled,"['Animation', 'Comedy', 'Kids & Family']"
m/10009680-matador,The Matador,2008,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
m/10009791-auteur,The Auteur,2008,2016,Fresh,Spilled,['Comedy']
m/10009799-caller,The Caller,2008,2009,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/10009823-sin_nombre,Sin Nombre,2009,2016,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/10009828-house_of_sleeping_beauties,Das Haus der Schlafenden Schönen (House of the Sleeping Beauties),2008,2009,Rotten,Spilled,"['Art House & International', 'Drama']"
m/10009890-stone_angel,The Stone Angel,2007,2008,Rotten,Spilled,['Drama']
m/10009926-alvin_and_the_chipmunks_2,Alvin and the Chipmunks: The Squeakquel,2009,2015,Rotten,Spilled,"['Animation', 'Comedy', 'Kids & Family']"
m/10009929-a_christmas_tale,Un Conte de Noël (A Christmas Tale),2008,2016,Certified-Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
m/10009980-rebound,The Rebound,2009,2013,Rotten,Spilled,"['Comedy', 'Romance']"
m/10009992-ripple_effect,Ripple Effect,2008,2015,Rotten,,['Drama']
m/1000_times_good_night,"1,000 Times Good Night",2014,2016,Fresh,Upright,['Drama']
m/10010011-harold,Harold,2008,2017,Rotten,Spilled,['Comedy']
m/10010066-push,Push,2009,2015,Rotten,Spilled,"['Mystery & Suspense', 'Science Fiction & Fantasy']"
m/10010077-felon,Felon,2008,2013,Fresh,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
m/10010131-scar,Scar,2007,2016,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
m/10010150-unborn,The Unborn,2009,2015,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
m/10010153-bitch_slap,Bitch Slap,2010,2014,Rotten,Spilled,['Action & Adventure']
m/10010155-forever_strong,Forever Strong,2008,2016,Rotten,Upright,['Drama']
m/10010208-chocolate,Chocolate,2008,2017,Fresh,Upright,"['Action & Adventure', 'Art House & International']"
m/10010214-fireproof,Fireproof,2008,2012,Rotten,Upright,['Drama']
m/10010229-dostana,Dostana,2008,2017,Fresh,Upright,"['Art House & International', 'Comedy']"
m/10010249-the_garden,The Garden,2008,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
m/10010329-splinter,Splinter,2008,2015,Fresh,Spilled,"['Horror', 'Mystery & Suspense']"
m/10010334-leaves_of_grass,Leaves of Grass,2010,2017,Fresh,Spilled,"['Comedy', 'Drama', 'Mystery & Suspense']"
m/10010335-rab_ne_bana_di_jodi,Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven),2008,0,Fresh,Upright,['Romance']
m/10010458-proposal,The Proposal,2009,2015,Rotten,Upright,"['Comedy', 'Romance']"
m/10010552-gigantic,Gigantic,2009,2017,Rotten,Spilled,"['Comedy', 'Romance']"
m/10010568-fuel,Fuel,2008,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
m/10010571-hush,Hush,2009,2016,Rotten,Spilled,['Mystery & Suspense']
m/1001063-anna_karenina,Anna Karenina,1935,2008,Fresh,Upright,"['Classics', 'Drama', 'Romance']"
m/10010658-orphan,Orphan,2009,2014,Rotten,Upright,"['Drama', 'Horror', 'Mystery & Suspense']"
m/10010662-my_sisters_keeper,My Sister's Keeper,2009,2014,Rotten,Upright,['Drama']
m/10010667-hangover,The Hangover,2009,2014,Certified-Fresh,Upright,['Comedy']
m/10010668-stepfather,The Stepfather,2009,2013,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
m/10010675-departures,Okuribito (Departures),2009,2016,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
m/10010680-boogie,Boogie (Summer Holiday),2008,2016,Fresh,Upright,"['Comedy', 'Drama']"
m/10010692-ballerina,Prima Ballerina,2009,0,Fresh,Upright,"['Art House & International', 'Special Interest']"
m/10010694-season_of_the_witch,Season of the Witch,2011,2011,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
m/10010703-shuttle,Shuttle,2009,2016,Rotten,Spilled,['Mystery & Suspense']
m/10010760-miss_march,Miss March,2009,2015,Rotten,Spilled,['Comedy']
m/10010782-american_affair,An American Affair,2009,2016,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/10010785-grace,Grace,2009,2017,Fresh,Spilled,"['Drama', 'Horror']"
m/10010787-endgame,Endgame,2009,2015,Fresh,Spilled,"['Drama', 'Mystery & Suspense']"
m/10010789-red_baron,The Red Baron (Der rote Baron),2008,2014,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Romance']"
m/10010919-objective,The Objective,2008,2016,Rotten,Spilled,"['Action & Adventure', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
m/10010940-happy_tears,Happy Tears,2010,2016,Rotten,Spilled,"['Comedy', 'Drama']"
m/10010944-missing_person,The Missing Person,2009,2016,Fresh,Spilled,"['Comedy', 'Drama', 'Mystery & Suspense']"
m/10010957-polanski_unauthorized,Polanski (Polanski Unauthorized),2009,2016,Rotten,Spilled,"['Art House & International', 'Drama']"
m/10010972-mammoth,Mammoth (Mammut),2009,2016,Rotten,Upright,"['Art House & International', 'Drama']"
m/10011003-crude,Crude,2009,2017,Certified-Fresh,Upright,"['Documentary', 'Special Interest']"
m/10011016-messenger,The Messenger,2009,2017,Certified-Fresh,Upright,"['Drama', 'Romance']"
m/10011050-lake_mungo,Lake Mungo,2009,2016,Fresh,Upright,"['Horror', 'Mystery & Suspense']"
m/10011079-country_teacher,Venkovský Ucitel (The Country Teacher),2008,2016,Fresh,Upright,"['Art House & International', 'Drama']"
m/1001115-apartment,The Apartment,1960,2016,Certified-Fresh,Upright,"['Classics', 'Comedy', 'Drama', 'Romance']"
m/10011154-golden_boys,Chatham (The Golden Boys),2009,2016,Rotten,Spilled,"['Comedy', 'Romance']"
m/1001117-ape,The Ape,1940,2015,Rotten,Spilled,"['Classics', 'Drama', 'Horror', 'Science Fiction & Fantasy']"
m/10011235-fame,Fame,2009,2016,Rotten,Spilled,"['Drama', 'Musical & Performing Arts', 'Romance']"
m/10011262-outrage,Outrage,2009,2017,Certified-Fresh,Upright,['Documentary']
m/10011284-skin,Skin,2009,2016,Certified-Fresh,Upright,"['Art House & International', 'Drama', 'Mystery & Suspense']"
m/10011303-helen,Helen,2008,2016,Fresh,Spilled,['Drama']
m/10011304-thirst,Bakjwi (Thirst),2009,2016,Certified-Fresh,Upright,"['Art House & International', 'Drama', 'Horror']"
m/10011335-vengeance,Vengeance (Fuk sau),2010,2017,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Mystery & Suspense']"
m/10011379-new_world_order,New World Order,2009,2017,Rotten,Spilled,"['Documentary', 'Special Interest']"
m/1001138-april_fools_day,April Fool's Day,1986,2013,Rotten,Spilled,['Horror']
m/10011388-blood_the_last_vampire,Blood: The Last Vampire,2009,2014,Rotten,Spilled,"['Action & Adventure', 'Art House & International', 'Horror', 'Science Fiction & Fantasy']"
m/10011435-shrink,Shrink,2009,2016,Rotten,Spilled,"['Comedy', 'Drama']"
m/10011457-ong_bak_2_2009,Ong Bak 2,2009,2016,Rotten,Spilled,"['Action & Adventure', 'Art House & International']"
m/10011489-bananas,Bananas!,2009,2016,Fresh,Spilled,"['Art House & International', 'Documentary', 'Special Interest']"
m/10011494-last_ride,Last Ride,2012,2016,Fresh,Upright,['Drama']
m/10011582-TRON_legacy,Tron Legacy,2010,2015,Rotten,Upright,"['Action & Adventure', 'Science Fiction & Fantasy']"
m/10011647-canyon,The Canyon,2009,2013,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
