rotten_tomatoes_link,movie_title,year_of_release,year_of_streaming_release,tomatometer_status,audience_status,genre_list
m/black_christmas_2019,Black Christmas,2019,2019,Rotten,,"['Horror', 'Mystery & Suspense']"
m/black_coffee_2015,Black Coffee,2014,2020,Rotten,Spilled,"['Comedy', 'Romance']"
m/black_cop,Black Cop,0,2018,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/black_dahlia,The Black Dahlia,2006,2016,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/black_death-2010,Black Death,2011,2017,Fresh,Spilled,"['Art House & International', 'Drama', 'Horror', 'Mystery & Suspense']"
m/black_dog,Black Dog,1998,2015,Rotten,Upright,['Action & Adventure']
m/black_dynamite,Black Dynamite,2009,2014,Certified-Fresh,Upright,"['Action & Adventure', 'Comedy']"
m/black_friday_2005,Black Friday,2005,2017,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Drama']"
m/black_hawk_down,Black Hawk Down,2001,2016,Certified-Fresh,Upright,"['Action & Adventure', 'Drama']"
m/black_knight,Black Knight,2001,2015,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']"
m/black_magic_for_white_boys,Black Magic for White Boys,2020,2020,Fresh,,['Comedy']
m/black_mask,Black Mask,0,2017,Rotten,Spilled,"['Action & Adventure', 'Art House & International']"
m/black_mass_2015,Black Mass,2015,0,Certified-Fresh,Upright,['Drama']
m/black_moon_rising,Black Moon Rising,1986,2017,Rotten,Spilled,['Action & Adventure']
m/black_narcissus,Black Narcissus,1947,2017,Fresh,Upright,"['Classics', 'Drama', 'Faith & Spirituality']"
m/black_nativity,Black Nativity,2013,2015,Rotten,Spilled,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']"
m/black_november,Black November,2015,2019,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
m/black_ops_2020,Black Ops,2020,2020,Fresh,,"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']"
m/black_or_white,Black or White,2015,2015,Rotten,Upright,['Drama']
m/black_orchid,The Black Orchid,1958,2016,Rotten,Spilled,"['Classics', 'Comedy', 'Drama', 'Romance']"
m/black_orpheus,Black Orpheus (Orfeu Negro),1959,2015,Certified-Fresh,Upright,"['Art House & International', 'Classics', 'Comedy', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']"
m/black_out_2012,Black Out,2014,2016,Rotten,Spilled,"['Action & Adventure', 'Comedy']"
m/black_panther_2018,Black Panther,2018,2018,Certified-Fresh,Upright,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']"
m/black_pond,Black Pond,0,2016,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama', 'Mystery & Suspense']"
m/black_robe,Black Robe,1991,1998,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Drama', 'Faith & Spirituality']"
m/black_rock_2011,Black Rock,2013,2015,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/black_rose_2017,Black Rose,2017,2017,Rotten,Spilled,"['Action & Adventure', 'Mystery & Suspense']"
m/black_sabbath,Black Sabbath (I Tre volti della paura) (The Three Faces of Fear) (The Three Faces of Terror),1963,2016,Fresh,Upright,"['Art House & International', 'Horror']"
m/black_sea,Black Sea,2015,2016,Certified-Fresh,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
m/black_sheep,Black Sheep,2006,2016,Fresh,Spilled,"['Comedy', 'Horror']"
m/black_site_2019,Black Site,0,2019,Fresh,Spilled,"['Action & Adventure', 'Art House & International', 'Horror']"
m/black_snake_moan,Black Snake Moan,2007,2013,Fresh,Upright,['Drama']
m/black_stallion,The Black Stallion,1979,2017,Fresh,Upright,"['Action & Adventure', 'Kids & Family']"
m/black_sunday,Black Sunday,1960,2017,Fresh,Upright,['Horror']
m/black_swan,The Black Swan,1942,2017,Fresh,Upright,"['Action & Adventure', 'Classics', 'Drama', 'Kids & Family']"
m/black_swan_2010,Black Swan,2010,2015,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense']"
m/black_water_2018,Black Water,2018,2018,Rotten,Spilled,['Action & Adventure']
m/black_waters_of_echos_pond,The Black Waters of Echo's Pond,2010,2017,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
m/black_white_gray_a_portrait_of_sam_wagstaff_and_robert_mapplethorpe,Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe,2007,2017,Fresh,Upright,"['Documentary', 'Musical & Performing Arts', 'Special Interest', 'Gay & Lesbian']"
m/blackballed-the-bobby-dukes-story,Blackballed: The Bobby Dukes Story,2006,2016,Rotten,Upright,['Comedy']
m/blackbeards_ghost,Blackbeard's Ghost,1968,2016,Fresh,Upright,"['Comedy', 'Kids & Family', 'Science Fiction & Fantasy']"
m/blackbird_2012,Blackbird,2013,2017,Rotten,Upright,['Drama']
m/blackbird_2015,Blackbird,2015,2017,Rotten,Spilled,"['Drama', 'Special Interest']"
m/blackboard_jungle,Blackboard Jungle,1955,2008,Fresh,Upright,"['Classics', 'Drama']"
m/blackfish_2013,Blackfish,2013,2016,Certified-Fresh,Upright,"['Documentary', 'Special Interest']"
m/blackhat,Blackhat,2015,2016,Rotten,Spilled,"['Action & Adventure', 'Drama']"
m/blackkklansman,BlacKkKlansman,2018,2018,Certified-Fresh,Upright,"['Comedy', 'Drama']"
m/blackthorn,Blackthorn,2011,2017,Certified-Fresh,Upright,"['Action & Adventure', 'Western']"
m/blackway,Blackway,2016,2016,Rotten,Spilled,['Mystery & Suspense']
m/blackwood_2013,Blackwood,2013,2017,Rotten,Spilled,['Mystery & Suspense']
m/blacula,Blacula,1972,2017,Rotten,Spilled,"['Action & Adventure', 'Classics', 'Horror']"
m/blade_ii,Blade II,2002,2012,Rotten,Upright,"['Action & Adventure', 'Horror']"
m/blade_of_the_immortal,Blade of the Immortal (Mugen no jûnin),2017,2017,Certified-Fresh,Upright,"['Action & Adventure', 'Drama']"
m/blade_runner,Blade Runner,1982,2016,Certified-Fresh,Upright,"['Drama', 'Science Fiction & Fantasy']"
m/blade_runner_1982,Blade Runner (The Final Cut),0,0,,,"['Drama', 'Science Fiction & Fantasy']"
m/blade_runner_2049,Blade Runner 2049,2017,2017,Certified-Fresh,Upright,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']"
m/blade_trinity,Blade: Trinity,2004,2013,Rotten,Spilled,"['Action & Adventure', 'Horror', 'Mystery & Suspense']"
m/blades_of_glory,Blades of Glory,2007,2016,Fresh,Upright,['Comedy']
m/blair_witch,Blair Witch,2016,2017,Rotten,Spilled,['Horror']
m/blair_witch_project,The Blair Witch Project,1999,2015,Certified-Fresh,Spilled,['Horror']
m/blame_2018,Blame,2018,2018,Fresh,Upright,['Drama']
m/blame_it_on_rio,Blame It on Rio,1984,2017,Rotten,Spilled,"['Comedy', 'Romance']"
m/blame_it_on_the_bellboy,Blame It on the Bellboy,1992,2016,Rotten,Spilled,"['Art House & International', 'Comedy']"
m/blancanieves,Blancanieves,2013,2016,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
m/blank-city,Blank City,2011,2017,Certified-Fresh,Upright,"['Documentary', 'Musical & Performing Arts', 'Television']"
m/blank_check,Blank Check,1994,2016,Rotten,Spilled,"['Comedy', 'Kids & Family']"
m/blankman,Blankman,1994,2012,Rotten,Spilled,"['Action & Adventure', 'Comedy']"
m/blast_from_the_past,Blast From the Past,1999,2009,Rotten,Spilled,"['Comedy', 'Romance']"
m/blaze,Blaze,1989,2016,Fresh,Spilled,"['Comedy', 'Drama', 'Romance']"
m/blaze_2018,Blaze,2018,2019,Certified-Fresh,Upright,['Drama']
m/blazing_saddles,Blazing Saddles,1974,2013,Certified-Fresh,Upright,"['Classics', 'Comedy', 'Western']"
m/bleach_2018,Bleach,2018,2018,Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Science Fiction & Fantasy']"
m/bleak_street,Bleak Street (La calle de la amargura),2016,2017,Rotten,Spilled,"['Art House & International', 'Comedy', 'Drama']"
m/bleed_2016,Bleed,2016,2016,Rotten,Spilled,['Horror']
m/bleed_for_this,Bleed For This,2016,2017,Fresh,Upright,"['Drama', 'Sports & Fitness']"
m/bleeding_heart_2015,Bleeding Heart,2015,2016,Rotten,Spilled,['Drama']
m/bleeding_steel,Bleeding Steel,2018,2018,Rotten,Spilled,"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
m/blended,Blended,2014,2016,Rotten,Upright,['Comedy']
m/bless_me_ultima_2012,"Bless Me, Ultima",2013,2015,Fresh,Upright,['Drama']
m/bless_the_child,Bless the Child,2000,2013,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
m/blessed_child,Blessed Child,0,2020,Fresh,,['Documentary']
m/blessed_is_the_match,Blessed Is the Match: The Life and Death of Hannah Senesh,2009,2016,Fresh,Upright,"['Documentary', 'Drama']"
m/blind-chance,Blind Chance (Przypadek),1989,2016,Fresh,Upright,"['Art House & International', 'Drama', 'Science Fiction & Fantasy']"
m/blind_2015,Blind,2015,2016,Fresh,Upright,"['Art House & International', 'Drama']"
m/blind_2017,Blind,2017,2019,Rotten,Spilled,['Drama']
m/blind_dating,Blind Dating,2007,2016,Rotten,Spilled,"['Comedy', 'Drama']"
m/blind_fury,Blind Fury,1990,2012,Rotten,Spilled,['Action & Adventure']
m/blind_spot_hitlers_secretary,Blind Spot: Hitler's Secretary,2002,2015,Certified-Fresh,Upright,"['Art House & International', 'Documentary', 'Special Interest']"
m/blinded_by_the_light,Blinded by the Light,2019,2019,Certified-Fresh,,"['Comedy', 'Drama']"
m/blindsight,Blindsight,2006,2017,Certified-Fresh,Upright,"['Action & Adventure', 'Documentary', 'Special Interest']"
m/blindspotting,Blindspotting,2018,2018,Certified-Fresh,Upright,"['Comedy', 'Drama']"
m/bling_2016,Bling,2016,2016,Rotten,Spilled,"['Animation', 'Kids & Family']"
m/blink,Blink,1994,2011,Fresh,Spilled,"['Drama', 'Mystery & Suspense']"
m/blinky_bill_the_movie,Blinky Bill The Movie,2016,2016,Fresh,Spilled,"['Action & Adventure', 'Animation', 'Art House & International']"
m/bliss_2019,Bliss,2019,2019,Fresh,Spilled,['Horror']
m/blithe_spirit,Blithe Spirit,1945,2017,Fresh,Upright,"['Comedy', 'Science Fiction & Fantasy']"
m/blitz_2011,Blitz,0,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
m/blizzard,Blizzard,2003,2017,Fresh,Spilled,['Kids & Family']
m/block_party,Dave Chappelle's Block Party,2006,2015,Certified-Fresh,Upright,"['Comedy', 'Documentary', 'Musical & Performing Arts']"
m/blockers,Blockers,2018,2018,Certified-Fresh,Spilled,['Comedy']
m/blonde_ambition,Blonde Ambition,2007,2014,Rotten,Spilled,"['Comedy', 'Drama']"
