,rotten_tomatoes_link,movie_title,year_of_release,year_of_streaming_release,tomatometer_status,audience_status,genre_list
1471,m/1142569-cursed,Cursed,2005,2016,Rotten,Spilled,['Horror']
1472,m/1142872-sky_high,Sky High,2005,2015,Fresh,Spilled,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']"
1473,m/1143677-snow_walker,The Snow Walker,2003,2016,Fresh,Upright,"['Action & Adventure', 'Drama']"
1474,m/1143922-devour,Devour,2005,2012,Rotten,Spilled,['Horror']
1475,m/1144029-appleseed,Appurushîdo (Appleseed),2004,2016,Rotten,Upright,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
1476,m/1144274-sahara,Sahara,2005,2014,Rotten,Spilled,"['Action & Adventure', 'Drama']"
1477,m/1144535-nightmare_alley,Nightmare Alley,1947,2016,Fresh,Upright,"['Classics', 'Drama']"
1478,m/1144585-inheritance,Arven (The Inheritance),2004,2015,Fresh,Upright,"['Art House & International', 'Drama']"
1479,m/1144622-moog,Moog,2004,,Rotten,Spilled,"['Documentary', 'Musical & Performing Arts']"
1480,m/1144992-crash,Crash,2004,2015,Certified-Fresh,Upright,['Drama']
1481,m/1146294-antares,Antares,2004,2016,Rotten,Spilled,"['Art House & International', 'Drama']"
1482,m/1146572-honeymooners,The Honeymooners,2005,2016,Rotten,Spilled,"['Comedy', 'Drama', 'Television']"
1483,m/1146673-1146673-stealth,Stealth,2005,2013,Rotten,Spilled,"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
1484,m/1147402-the_muppets_wizard_of_oz,The Muppets' Wizard of Oz,2005,2015,Rotten,Spilled,"['Kids & Family', 'Musical & Performing Arts']"
1485,m/1148076-no_direction_home_bob_dylan,No Direction Home: Bob Dylan,2005,2015,Fresh,Upright,"['Documentary', 'Musical & Performing Arts']"
1486,m/1148372-bad_timing,Bad Timing,1980,2017,Rotten,Upright,['Mystery & Suspense']
1487,m/1148583-pom_poko,Pom Poko (Heisei tanuki gassen pompoko) (The Raccoon War),1994,2019,Fresh,Upright,"['Animation', 'Art House & International', 'Comedy', 'Drama', 'Kids & Family', 'Science Fiction & Fantasy']"
1488,m/1149472-skeleton_key,The Skeleton Key,2005,2015,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense', 'Romance']"
1489,m/1149496-1149496-red_eye,Red Eye,2005,2017,Certified-Fresh,Upright,"['Action & Adventure', 'Mystery & Suspense']"
1490,m/1150926-wall,Wall (Mur),2004,2016,Fresh,Upright,"['Art House & International', 'Documentary', 'Special Interest']"
1491,m/1151490-bomb_the_system,Bomb the System,2003,2017,Rotten,Upright,"['Action & Adventure', 'Drama']"
1492,m/1151769-hellbent,Hellbent,2005,2016,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
1493,m/1151780-venom,Venom,2005,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
1494,m/1151898-capote,Capote,2005,2016,Certified-Fresh,Upright,['Drama']
1495,m/1151916-1151916-nine_lives,Nine Lives,2005,2012,Certified-Fresh,Upright,['Drama']
1496,m/1151946-festival,Festival,2005,2014,Fresh,Spilled,"['Comedy', 'Drama', 'Musical & Performing Arts']"
1497,m/1152019-good_night_and_good_luck,"Good Night, And Good Luck",2005,2009,Certified-Fresh,Upright,['Drama']
1498,m/1152189-kids_in_america,Kids in America,2005,2010,Rotten,Upright,"['Comedy', 'Documentary']"
1499,m/1152276-rent,Rent,2005,2012,Rotten,Upright,"['Comedy', 'Musical & Performing Arts', 'Romance']"
1500,m/1152567-jarhead,Jarhead,2005,2015,Fresh,Upright,['Drama']
1501,m/1152881-godzilla_final_wars,Godzilla: Final Wars,2004,2012,Rotten,Upright,"['Action & Adventure', 'Art House & International', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
1502,m/1152954-new_world,The New World,2005,2013,Fresh,Spilled,"['Action & Adventure', 'Drama', 'Romance']"
1503,m/1153077-1153077-pride_and_prejudice,Pride and Prejudice,2005,2014,Certified-Fresh,Upright,"['Comedy', 'Drama', 'Romance']"
1504,m/1153228-the_ringer,The Ringer,2005,2015,Rotten,Upright,['Comedy']
1505,m/1153319-land_of_plenty,Land of Plenty,2004,2017,Fresh,Upright,['Drama']
1506,m/1153341-breakfast_on_pluto,Breakfast on Pluto,2005,2012,Rotten,Upright,"['Comedy', 'Drama']"
1507,m/1153853-mystery_of_the_nile,Mystery of the Nile,2005,2019,Fresh,Upright,"['Documentary', 'Special Interest']"
1508,m/1153907-football_factory,The Football Factory,2004,2005,Rotten,Upright,"['Action & Adventure', 'Art House & International', 'Comedy', 'Documentary', 'Drama']"
1509,m/1153951-curious_george,Curious George,2006,2016,Fresh,Upright,"['Animation', 'Comedy', 'Kids & Family']"
1510,m/1154157-big_mommas_house_2,Big Momma's House 2,2006,2015,Rotten,Spilled,['Comedy']
1511,m/1154356-promise,The Promise (Master of Crimson Armor) (Wu ji),2005,2016,Rotten,Spilled,"['Action & Adventure', 'Classics', 'Drama', 'Science Fiction & Fantasy']"
1512,m/1154478-pariah,Pariah,1998,2017,Rotten,Spilled,"['Art House & International', 'Drama']"
1513,m/1155,11:55,2017,2017,Fresh,Upright,['Drama']
1514,m/1155109-hoodwinked,Hoodwinked,2005,2016,Rotten,Spilled,"['Animation', 'Comedy', 'Kids & Family']"
1515,m/1155467-glory_road,Glory Road,2006,2015,Rotten,Upright,"['Drama', 'Sports & Fitness']"
1516,m/1155470-date_movie,Date Movie,2006,2015,Rotten,Spilled,['Comedy']
1517,m/1155622-why_we_fight,Why We Fight,2006,2015,Certified-Fresh,Upright,"['Documentary', 'Special Interest']"
1518,m/1156246-casanova,Casanova,2005,2017,Rotten,Spilled,"['Comedy', 'Drama', 'Romance']"
1519,m/1156283-doogal,Doogal,2006,2017,Rotten,Spilled,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
1520,m/1156285-summer_storm,Summer Storm (Sommersturm),2006,2016,Rotten,Upright,"['Art House & International', 'Comedy', 'Drama', 'Romance', 'Sports & Fitness']"
1521,m/1156352-adam_and_steve,Adam & Steve,2005,2017,Rotten,Spilled,"['Comedy', 'Drama']"
1522,m/1156415-on_a_clear_day,On a Clear Day,2006,2014,Fresh,Upright,"['Comedy', 'Drama']"
1523,m/1156587-clean,Clean,2005,2017,Fresh,Upright,"['Art House & International', 'Drama']"
1524,m/1156599-panic_in_needle_park,The Panic in Needle Park,1971,2016,Fresh,Upright,"['Classics', 'Drama']"
1525,m/1157247-london,London,2006,2014,Rotten,Upright,['Drama']
1526,m/1157387-little_fish,Little Fish,2006,2017,Fresh,Spilled,"['Drama', 'Mystery & Suspense']"
1527,m/1157810-evil,Evil (Ondskan),2006,2017,Fresh,Upright,"['Art House & International', 'Drama']"
1528,m/1158179-devil_and_daniel_johnston,The Devil and Daniel Johnston,2006,2014,Certified-Fresh,Upright,"['Documentary', 'Musical & Performing Arts']"
1529,m/1158185-see_no_evil,See No Evil,2006,2015,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
1530,m/1158195-marie_antoinette,Marie Antoinette,2006,2013,Rotten,Spilled,"['Documentary', 'Drama']"
1531,m/1158528-goal,Goal! The Dream Begins (Goal!: The Impossible Dream),2005,2016,Rotten,Upright,"['Drama', 'Sports & Fitness']"
1532,m/1158609-dark,The Dark,2004,2012,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
1533,m/1158918-sleeping_dogs_lie,Sleeping Dogs Lie,2006,2017,Fresh,Spilled,"['Comedy', 'Drama']"
1534,m/1159100-oh_in_ohio,The Oh in Ohio,2006,2017,Rotten,Spilled,['Comedy']
1535,m/1159122-christmas_in_the_clouds,Christmas in the Clouds,2005,2016,Fresh,Upright,"['Comedy', 'Kids & Family', 'Romance']"
1536,m/1159135-hoax,The Hoax,2007,2016,Certified-Fresh,Spilled,"['Comedy', 'Drama']"
1537,m/1159169-for_your_consideration,For Your Consideration,2006,2010,Rotten,Spilled,['Comedy']
1538,m/1159177-free_zone,Free Zone,2006,2016,Rotten,Spilled,"['Art House & International', 'Drama']"
1539,m/1159365-standing_still,Standing Still,2005,2016,Rotten,Spilled,"['Comedy', 'Drama']"
1540,m/1159618-superhero,Superhero Movie,2008,2017,Rotten,Spilled,"['Action & Adventure', 'Comedy']"
1541,m/1159632-blue_butterfly,The Blue Butterfly,2004,2017,Rotten,Upright,"['Action & Adventure', 'Drama', 'Kids & Family']"
1542,m/1161005-straight_into_darkness,Straight Into Darkness,2005,2012,Rotten,Spilled,"['Action & Adventure', 'Drama']"
1543,m/1161542-look_both_ways,Look Both Ways,2006,2017,Certified-Fresh,Upright,"['Comedy', 'Drama']"
1544,m/1161913-big_white,The Big White,2005,2017,Rotten,Spilled,"['Comedy', 'Drama']"
1545,m/1162559-bobby,Bobby,2006,2016,Rotten,Upright,['Drama']
1546,m/1162654-cavite,Cavite,2006,2016,Fresh,Spilled,"['Art House & International', 'Horror', 'Mystery & Suspense']"
1547,m/1162685-land_of_the_blind,Land of the Blind,2006,2016,Rotten,Upright,['Drama']
1548,m/1162724-coastlines,Coastlines,2006,2015,Rotten,Spilled,['Drama']
1549,m/1162756-slight_case_of_murder,A Slight Case of Murder,1938,2014,Fresh,Upright,"['Classics', 'Comedy', 'Drama']"
1550,m/1163536-unconscious,Unconscious,2006,2009,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama', 'Mystery & Suspense']"
1551,m/1163962-home,Home,2005,,Rotten,Spilled,"['Comedy', 'Documentary', 'Drama', 'Special Interest']"
1552,m/1164119-breed,The Breed,2006,2020,Rotten,Spilled,['Horror']
1553,m/1164158-stupidity,Stupidity,,2016,Fresh,Spilled,"['Documentary', 'Special Interest']"
1554,m/1164418-voices_of_iraq,Voices of Iraq,2004,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
1555,m/1164582-trade,Trade,2007,2016,Rotten,Upright,"['Drama', 'Mystery & Suspense']"
1556,m/1166140-abominable,Abominable,2006,2018,Fresh,Spilled,['Horror']
1557,m/1166176-rest_stop,Rest Stop,2006,2009,Rotten,Spilled,['Horror']
1558,m/1166226-red_doors,Red Doors,2005,2007,Fresh,Upright,"['Comedy', 'Drama']"
1559,m/1166237-pizza,Pizza,2005,2016,Rotten,Spilled,['Comedy']
1560,m/1166376-woods,The Woods,2006,2016,Fresh,Spilled,"['Horror', 'Mystery & Suspense']"
1561,m/1166474-magus,The Magus,1968,2015,Rotten,Spilled,"['Classics', 'Drama', 'Science Fiction & Fantasy']"
1562,m/1167633-driving_lessons,Driving Lessons,2006,2012,Rotten,Upright,"['Comedy', 'Drama']"
1563,m/1167811-ballets_russes,Ballets Russes,2005,2017,Certified-Fresh,Upright,"['Documentary', 'Musical & Performing Arts']"
1564,m/1168076-angel,Angel Rodriguez,,2016,Fresh,Spilled,"['Art House & International', 'Drama', 'Television']"
1565,m/1168275-karla,Karla,2006,2016,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
1566,m/1168301-death_and_texas,Death & Texas,2004,2017,Fresh,,"['Comedy', 'Drama']"
1567,m/1168577-cocaine_angel,Cocaine Angel,2007,,Fresh,Spilled,"['Art House & International', 'Drama']"
1568,m/1169203-invisible,The Invisible,2007,2016,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
1569,m/1169498-bridge,The Bridge,2006,2017,Fresh,Upright,"['Documentary', 'Drama']"
1570,m/1170009-conversations_with_god,Conversations With God,2006,2016,Rotten,Upright,"['Drama', 'Faith & Spirituality']"
1571,m/1171939-perfect_stranger,Perfect Stranger,2007,2014,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
1572,m/1174085-vitus,Vitus,2007,2014,Fresh,Upright,"['Art House & International', 'Drama']"
1573,m/1174278-definitely_maybe,"Definitely, Maybe",2008,2012,Certified-Fresh,Upright,"['Comedy', 'Romance']"
1574,m/1174279-wanted,Wanted,2008,2012,Certified-Fresh,Upright,"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
1575,m/1174809-silk,Silk,2007,2011,Rotten,Spilled,"['Drama', 'Romance']"
1576,m/1175072-license_to_wed,License to Wed,2007,2009,Rotten,Spilled,"['Comedy', 'Drama']"
1577,m/1175076-fred_claus,Fred Claus,2007,2010,Rotten,Spilled,['Comedy']
1578,m/1175079-antibodies,Antikörper (Antibodies),2007,2015,Fresh,Upright,"['Drama', 'Horror', 'Mystery & Suspense']"
1579,m/1175174-funny_games,Funny Games,2008,2016,Rotten,Spilled,['Mystery & Suspense']
1580,m/1175178-jane_austen_book_club,The Jane Austen Book Club,2007,2012,Fresh,Upright,"['Comedy', 'Drama', 'Romance']"
1581,m/1175374-fail_safe,Fail Safe,2000,2016,Fresh,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Television']"
1582,m/1175569-lars_and_the_real_girl,Lars and the Real Girl,2007,2017,Certified-Fresh,Upright,['Comedy']
1583,m/1175777-ghosts_of_abu_ghraib,Ghosts of Abu Ghraib,2007,2014,Fresh,Upright,"['Documentary', 'Special Interest']"
1584,m/1175778-longford,Longford,,2016,Fresh,Upright,"['Drama', 'Television']"
1585,m/1175858-simple_curve,A Simple Curve,2005,2016,Fresh,Spilled,"['Art House & International', 'Drama']"
1586,m/1175905-tortilla_heaven,Tortilla Heaven,2007,2019,Rotten,Spilled,['Comedy']
1587,m/1176692-madeinusa,Madeinusa,2006,2016,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
1588,m/1176779-10_mph,10 MPH,,2015,Fresh,Upright,"['Documentary', 'Special Interest']"
1589,m/1176860-hurricane_on_the_bayou,Hurricane on the Bayou,2006,2011,Fresh,Upright,"['Documentary', 'Special Interest']"
1590,m/1177165-in_debt_we_trust,In Debt We Trust,2009,,Fresh,Upright,"['Documentary', 'Special Interest']"
1591,m/1177488-contract,The Contract,2006,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
1592,m/1177708-descent,Descent,2007,2008,Rotten,Spilled,"['Art House & International', 'Drama', 'Mystery & Suspense']"
1593,m/1177735-1177735-peck_on_the_cheek,Kannathil Muthamittal (A Peck on the Cheek),2002,2016,Fresh,Upright,"['Art House & International', 'Drama']"
1594,m/1177781-1177781-rally_round_the_flag_boys,"Rally 'Round the Flag, Boys!",1958,2015,Rotten,Spilled,"['Classics', 'Comedy']"
1595,m/1178112-hollywood_dreams,Hollywood Dreams,2007,2020,Rotten,Upright,"['Comedy', 'Drama']"
1596,m/1178221-final_season,The Final Season,2007,2016,Rotten,Upright,"['Art House & International', 'Drama']"
1597,m/1178348-the_last_time,The Last Time,2007,2012,Rotten,Spilled,"['Comedy', 'Drama']"
1598,m/1178444-take,Take,2008,2017,Rotten,Spilled,"['Art House & International', 'Drama', 'Mystery & Suspense']"
1599,m/1178913-1178913-you_kill_me,You Kill Me,2007,2016,Certified-Fresh,Spilled,"['Comedy', 'Drama', 'Romance']"
1600,m/1178952-amu,Amu,2006,2016,Fresh,Upright,['Drama']
1601,m/1179642-splinter,Splinter,2006,2017,Rotten,Spilled,"['Action & Adventure', 'Mystery & Suspense']"
1602,m/11816,11/8/16,2017,2017,Fresh,Upright,['Documentary']
1603,m/1183512-as_you_like_it,As You Like It,2006,2016,Rotten,Spilled,"['Comedy', 'Drama', 'Romance']"
1604,m/1183674-hunting_party,The Hunting Party,2007,2014,Rotten,Upright,"['Action & Adventure', 'Comedy', 'Mystery & Suspense']"
1605,m/1183735-1183735-michael_moore_hates_america,Michael Moore Hates America,2004,2016,Fresh,Spilled,"['Art House & International', 'Documentary', 'Drama', 'Special Interest', 'Television']"
1606,m/1183806-dirty_laundry,Dirty Laundry,2006,2016,Rotten,Upright,"['Art House & International', 'Comedy', 'Documentary', 'Drama', 'Special Interest']"
1607,m/1184415-evil_aliens,Evil Aliens,,2016,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Horror', 'Science Fiction & Fantasy']"
1608,m/1184756-burning,The Burning,1981,2018,Fresh,Upright,['Horror']
1609,m/1184827-alvin_and_the_chipmunks,Alvin and the Chipmunks,2007,2017,Rotten,Upright,"['Animation', 'Comedy', 'Kids & Family']"
1610,m/1185184-1185184-unknown_soldier,The Unknown Soldier,2007,2016,Fresh,Upright,"['Art House & International', 'Documentary', 'Special Interest']"
1611,m/1185677-dear_pillow,Dear Pillow,2004,2020,Fresh,Upright,"['Art House & International', 'Drama']"
1612,m/1185779-coffee_date,Coffee Date,2006,2016,Rotten,Upright,"['Comedy', 'Drama']"
1613,m/1185801-the_express,The Express,2008,2016,Fresh,Upright,['Drama']
1614,m/1186023-1186023-rape_of_europa,The Rape of Europa,2007,2016,Certified-Fresh,Upright,"['Documentary', 'Musical & Performing Arts']"
1615,m/1186122-broken,Broken,2007,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
1616,m/1187621-itty_bitty_titty_committee,Itty Bitty Titty Committee,2007,2008,Rotten,Spilled,"['Comedy', 'Gay & Lesbian']"
1617,m/1188209-1188209-strange_culture,Strange Culture,2007,2017,Fresh,Upright,"['Documentary', 'Drama', 'Special Interest']"
1618,m/1188215-blindness,Blindness,2008,2016,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
1619,m/1188347-mad_money,Mad Money,2008,2016,Rotten,Spilled,"['Comedy', 'Drama']"
1620,m/1188732-haunting_in_connecticut,The Haunting in Connecticut,2009,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
1621,m/1188868-billy_the_kid,Billy the Kid,2020,2017,Fresh,Upright,"['Documentary', 'Special Interest']"
1622,m/1189010-tenderness,Tenderness,2008,2016,Rotten,Spilled,"['Art House & International', 'Drama']"
1623,m/1189217-angels_and_demons,Angels & Demons,2009,2012,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
1624,m/1189344-lovely_bones,The Lovely Bones,2009,2013,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
1625,m/1189416-shelter,Shelter,2007,2017,Fresh,Upright,"['Drama', 'Romance']"
1626,m/1189629-the_great_buck_howard,The Great Buck Howard,2009,2016,Fresh,Spilled,"['Comedy', 'Drama']"
1627,m/1189844-the_bank_job,The Bank Job,2008,2016,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense']"
1628,m/1190296-zack_and_miri_make_a_porno,Zack and Miri Make a Porno,2008,2016,Fresh,Upright,"['Comedy', 'Drama', 'Romance']"
1629,m/1190517-1190517-town_creek,Blood Creek,2009,2016,Rotten,Spilled,"['Drama', 'Horror']"
1630,m/1190660-over_my_dead_body,Over Her Dead Body,2008,2013,Rotten,Spilled,"['Comedy', 'Science Fiction & Fantasy', 'Romance']"
1631,m/1190964-imagine_that,Imagine That,2009,2017,Rotten,Spilled,['Comedy']
1632,m/1190970-ghost_town,Ghost Town,2008,2013,Certified-Fresh,Upright,"['Comedy', 'Documentary', 'Science Fiction & Fantasy', 'Special Interest']"
1633,m/1191620-college,College,2008,2016,Rotten,Spilled,['Comedy']
1634,m/1191742_changeling,Changeling,2008,2016,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
1635,m/1192171-la_twister,L.A. Twister,2004,2016,Rotten,Spilled,"['Comedy', 'Drama']"
1636,m/1192193-life_is_a_bed_of_roses,Life is a Bed of Roses,1983,2016,Fresh,Spilled,"['Art House & International', 'Comedy', 'Drama']"
1637,m/1192255-1192255-what_love_is,What Love Is,2008,2012,Rotten,Spilled,['Comedy']
1638,m/1192358-1192358-no_smoking,No Smoking,2007,,Rotten,Upright,"['Art House & International', 'Comedy']"
1639,m/1192616-mister_lonely,Mister Lonely,2007,2017,Rotten,Spilled,"['Art House & International', 'Comedy', 'Drama', 'Special Interest']"
1640,m/1192781-hell_ride,Hell Ride,2008,2016,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
1641,m/1192846-1192846-partition,Partition,2007,2016,Rotten,Upright,"['Classics', 'Drama']"
1642,m/1192938-smart_people,Smart People,2008,2016,Rotten,Spilled,"['Comedy', 'Drama', 'Romance']"
1643,m/1193203-cottage,The Cottage,2008,2012,Fresh,Spilled,['Horror']
1644,m/1193230-state_of_play,State of Play,2009,2016,Certified-Fresh,Upright,"['Drama', 'Mystery & Suspense']"
1645,m/1193289-all_hat,All Hat,,2017,Rotten,Spilled,"['Action & Adventure', 'Western']"
1646,m/1193303-1193303-trumbo,Trumbo,2007,2016,Certified-Fresh,Upright,"['Documentary', 'Television']"
1647,m/1193335-deal,Deal,2008,2016,Rotten,Spilled,['Drama']
1648,m/1193377-chapter_27,Chapter 27,2007,2017,Rotten,Spilled,['Drama']
1649,m/1193743-step_brothers,Step Brothers,2008,2012,Rotten,Upright,['Comedy']
1650,m/1193780-botched,Botched,2008,2016,Rotten,Spilled,"['Comedy', 'Horror', 'Mystery & Suspense']"
1651,m/1193825-noise,Noise,2007,2017,Rotten,Upright,"['Comedy', 'Drama']"
1652,m/1194034-burning_the_future_coal_in_america,Burning the Future: Coal in America,,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
1653,m/1194135-miss_conception,Miss Conception,2008,2017,Rotten,Spilled,"['Art House & International', 'Comedy', 'Romance']"
1654,m/1194209-elegy,Elegy,2008,2014,Certified-Fresh,Upright,['Drama']
1655,m/1194326-take,The Take,2007,2012,Fresh,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
1656,m/1194403-all_in_this_tea,All in This Tea,2007,2018,Fresh,Upright,"['Documentary', 'Special Interest']"
1657,m/1194515-ice_age_dawn_of_the_dinosaurs,Ice Age: Dawn of the Dinosaurs (Ice Age 3),2009,2015,Rotten,Upright,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family']"
1658,m/1194524-high_school_musical_3_senior_year,High School Musical 3: Senior Year,2008,2016,Fresh,Upright,['Musical & Performing Arts']
1659,m/1194589-heart_of_the_beholder,Heart of the Beholder,,2017,Fresh,Spilled,"['Drama', 'Faith & Spirituality']"
1660,m/1194626-fanaa,Fanaa,2006,2017,Fresh,Upright,"['Art House & International', 'Drama', 'Musical & Performing Arts', 'Romance']"
1661,m/1194818-encounters_at_the_end_of_the_world,Encounters at the End of the World,2007,2016,Certified-Fresh,Upright,['Documentary']
1662,m/1194825-phoebe_in_wonderland,Phoebe in Wonderland,2009,2009,Fresh,Upright,"['Drama', 'Science Fiction & Fantasy']"
1663,m/1194842-love_and_other_disasters,Love and Other Disasters,2006,2015,Rotten,Spilled,"['Comedy', 'Romance']"
1664,m/1194870-poisoned_by_polonium_the_litvinenko_file,Bunt. Delo Litvinenko (Poisoned by Polonium: The Litvinenko File) (Rebellion: The Litvinenko Case),2007,2005,,,"['Documentary', 'Special Interest']"
1665,m/1194893-salaam_namaste,Salaam Namaste,2005,2017,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama', 'Musical & Performing Arts', 'Romance']"
1666,m/1194949-wolfman,The Wolfman,2010,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
1667,m/1195103-happy_go_lucky,Happy-Go-Lucky,2008,2016,Certified-Fresh,Upright,"['Art House & International', 'Comedy', 'Drama']"
1668,m/1195796-viva,Viva,2007,2017,Fresh,Spilled,"['Art House & International', 'Comedy', 'Drama', 'Musical & Performing Arts']"
1669,m/1195800-my_winnipeg,My Winnipeg,2007,2016,Certified-Fresh,Upright,"['Documentary', 'Special Interest']"
1670,m/1195801-space_chimps,Space Chimps,2008,2016,Rotten,Spilled,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family']"
1671,m/1195905-hounddog,Hounddog,2008,2016,Rotten,Spilled,"['Drama', 'Musical & Performing Arts']"
1672,m/1195916-never_forever,Never Forever,2007,2015,Fresh,Upright,"['Art House & International', 'Drama']"
1673,m/1196003-princess_and_the_frog,The Princess and the Frog,2009,2015,Certified-Fresh,Upright,"['Animation', 'Comedy', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']"
1674,m/1196077-cloudy_with_a_chance_of_meatballs,Cloudy With a Chance of Meatballs,2009,2012,Certified-Fresh,Upright,"['Animation', 'Comedy', 'Kids & Family']"
1675,m/1196177-lou_reeds_berlin,Lou Reed's Berlin,2008,2016,Fresh,Upright,"['Documentary', 'Musical & Performing Arts']"
1676,m/1196178-patti_smith_dream_of_life,Patti Smith: Dream of Life,2008,2017,Fresh,Upright,"['Documentary', 'Musical & Performing Arts']"
1677,m/1196215-lakeview_terrace,Lakeview Terrace,2008,2014,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
1678,m/1196221-quarantine,Quarantine,2008,2012,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
1679,m/1196293-reprise,Reprise,2006,2008,Certified-Fresh,Upright,"['Comedy', 'Drama']"
1680,m/1196432-before_the_rains,Before the Rains,2008,2016,Rotten,Spilled,['Drama']
1681,m/1196557-my_name_is_bruce,My Name Is Bruce,2007,2017,Rotten,Spilled,"['Comedy', 'Horror']"
1682,m/1197016-mirrors,Mirrors,2008,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
1683,m/1197036-trapped_ashes,Trapped Ashes,,2016,Rotten,Spilled,['Horror']
1684,m/1197120-oss_117_cairo_nest_of_spies,"OSS 117: Le Caire Nid d'Espions (OSS 117: Cairo, Nest of Spies)",2008,2017,Certified-Fresh,Upright,"['Action & Adventure', 'Art House & International', 'Comedy']"
1685,m/1197200-my_father_my_lord,Hofshat Kaits (My Father My Lord),2008,2013,Fresh,Upright,"['Art House & International', 'Drama']"
1686,m/1197307-ballast,Ballast,2008,2017,Certified-Fresh,Upright,"['Art House & International', 'Drama']"
1687,m/1197321-paris,Paris,2008,2017,Fresh,Upright,"['Art House & International', 'Comedy', 'Drama', 'Romance']"
1688,m/1197334-never_say_macbeth,Never Say Macbeth,2007,2008,Fresh,Spilled,['Comedy']
1689,m/1197696-fantastic_mr_fox,Fantastic Mr. Fox,2009,2015,Certified-Fresh,Upright,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family']"
1690,m/1197809-art_of_travel,The Art Of Travel,2008,2016,Fresh,Spilled,"['Action & Adventure', 'Art House & International', 'Drama', 'Romance']"
1691,m/1197811-ballet_shoes,Ballet Shoes,2008,2017,Fresh,Upright,"['Drama', 'Kids & Family']"
1692,m/1197992-perfect_game,The Perfect Game,2010,2017,Rotten,Upright,"['Drama', 'Kids & Family', 'Sports & Fitness']"
1693,m/1198124-shutter_island,Shutter Island,2010,2013,Fresh,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
1694,m/1198151-disfigured,Disfigured,2008,2017,Fresh,Upright,"['Comedy', 'Drama']"
1695,m/1198511-bustin_down_the_door,Bustin' Down the Door,2008,2013,Fresh,Upright,"['Documentary', 'Sports & Fitness']"
1696,m/1198524-ninja_assassin,Ninja Assassin,2009,2011,Rotten,Spilled,"['Action & Adventure', 'Drama']"
1697,m/1198569-recount,Recount,2008,2016,Certified-Fresh,Upright,"['Comedy', 'Drama', 'Television']"
1698,m/1198658-i_love_you_beth_cooper,I Love You Beth Cooper,2009,2015,Rotten,Spilled,['Comedy']
1699,m/1199325-far_north,Far North,2008,2017,Fresh,Spilled,['Drama']
1700,m/11_11_11_2011,11-11-11,,2016,Rotten,Spilled,"['Drama', 'Horror']"
1701,m/11_minutes,11 Minutes (11 Minut),2016,2016,Fresh,Spilled,"['Art House & International', 'Drama', 'Mystery & Suspense']"
1702,m/11th_hour,The 11th Hour,2007,2008,Fresh,Upright,"['Documentary', 'Special Interest']"
1703,m/1200661-informant,The Informant!,2009,2014,Certified-Fresh,Spilled,"['Comedy', 'Drama', 'Mystery & Suspense']"
1704,m/1200731-robocop,RoboCop,2014,2016,Rotten,Spilled,"['Action & Adventure', 'Science Fiction & Fantasy']"
