,rotten_tomatoes_link,movie_title,year_of_release,year_of_streaming_release,tomatometer_status,audience_status,genre_list
53,m/10006270,When Do We Eat?,2006,2017,Rotten,Upright,['Comedy']
54,m/10006324,The Mostly Unfabulous Social Life of Ethan Green,2006,2017,Rotten,Spilled,"['Comedy', 'Drama']"
55,m/10006343-dirty,Dirty,2006,2012,Rotten,Spilled,['Drama']
56,m/10006370-stay_alive,Stay Alive,2006,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
57,m/1000640-all_of_me,All of Me,1984,2016,Certified-Fresh,Upright,"['Comedy', 'Science Fiction & Fantasy']"
58,m/1000643-all_quiet_on_the_western_front,All Quiet on the Western Front,,2018,Fresh,Upright,['Drama']
59,m/10006434-dreamland,Dreamland,2006,2012,Fresh,Upright,"['Art House & International', 'Drama']"
60,m/10006485-black_gold,Independent Lens,2006,2007,Certified-Fresh,Upright,"['Documentary', 'Special Interest']"
61,m/1000654-all_the_kings_men,All the King's Men,1949,2013,Certified-Fresh,Upright,"['Classics', 'Drama']"
62,m/10006588-street_fight,Street Fight,2005,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
63,m/10006780-lost_horizon,Lost Horizon,1973,2015,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy']"
64,m/10006848-the_motel,The Motel,2005,2017,Fresh,Upright,"['Comedy', 'Drama']"
65,m/10006849-once_in_a_lifetime,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,2006,2016,Certified-Fresh,Upright,"['Documentary', 'Sports & Fitness']"
66,m/10006856-requiem,Requiem,2006,2017,Fresh,Upright,"['Art House & International', 'Drama', 'Horror', 'Mystery & Suspense']"
67,m/10006940-silk,Gui si (Silk),2006,2015,Rotten,Spilled,"['Art House & International', 'Horror', 'Mystery & Suspense']"
68,m/10007139-park,Park,2006,2017,Rotten,Spilled,"['Art House & International', 'Comedy', 'Drama']"
69,m/10007142-the_4th_dimension,The 4th Dimension,2006,2017,Fresh,Spilled,"['Drama', 'Science Fiction & Fantasy']"
70,m/10007333-bon_cop_bad_cop,"Bon Cop, Bad Cop",2006,2017,Fresh,Upright,"['Action & Adventure', 'Comedy']"
71,m/10007415-amazing_grace,Amazing Grace,2007,2015,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
72,m/10007538-silence,The Silence,,2016,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Television']"
73,m/10007598-cocaine_cowboys,Cocaine Cowboys,2006,2016,Fresh,Upright,['Documentary']
74,m/10007614-gone,Gone,2007,2014,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
75,m/10007714-situation,The Situation,2006,2007,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
76,m/10007821-snow_blind,Snow Blind,2006,2017,Rotten,,"['Documentary', 'Sports & Fitness']"
77,m/10007856-four_sheets_to_the_wind,Four Sheets to the Wind,2007,2016,Fresh,Upright,"['Art House & International', 'Drama']"
78,m/10007886-the_tigers_tail,The Tiger's Tail,2006,2016,Rotten,Spilled,"['Comedy', 'Drama', 'Mystery & Suspense']"
79,m/10007893-its_a_boy_girl_thing,It's a Boy Girl Thing,2006,2016,Fresh,Upright,"['Comedy', 'Romance']"
80,m/10007898-slipstream,Slipstream,2007,2012,Rotten,Spilled,"['Art House & International', 'Comedy', 'Drama', 'Science Fiction & Fantasy']"
81,m/10007902-delirious,Delirious,2007,2020,Certified-Fresh,Spilled,"['Comedy', 'Drama']"
82,m/10007916_interview,Interview,2007,2012,Rotten,Spilled,"['Art House & International', 'Drama']"
83,m/1000792-american_anthem,American Anthem,1986,2013,Rotten,Upright,"['Action & Adventure', 'Documentary', 'Drama']"
84,m/10007947-ten,The Ten,2007,2016,Rotten,Spilled,['Comedy']
85,m/10007985-happening,The Happening,2008,2015,Rotten,Spilled,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
86,m/10008005-moliere,Molière,2007,2014,Fresh,Upright,['Comedy']
87,m/10008126-straightheads,Straightheads (Closure),2007,2012,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
88,m/10008140-borderland,Borderland,2007,2016,Fresh,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
89,m/10008200-spiral,Spiral,2007,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
90,m/10008234-alexandra,Alexandra,2007,2015,Certified-Fresh,Upright,['Drama']
91,m/10008390_blood_and_tears,Blood and Tears: The Arab-Israeli Conflict,2007,2007,Rotten,Spilled,['Documentary']
92,m/10008423-cool_school,The Cool School,2008,2017,Fresh,Upright,"['Documentary', 'Musical & Performing Arts']"
93,m/10008496-pathology,Pathology,2008,2017,Rotten,Spilled,"['Drama', 'Mystery & Suspense']"
94,m/10008502-christmas_carol,Disney's A Christmas Carol,2009,2015,Rotten,Spilled,"['Animation', 'Drama', 'Kids & Family', 'Science Fiction & Fantasy']"
95,m/10008507-deep_water,Deep Water,2006,2017,Certified-Fresh,Upright,"['Documentary', 'Special Interest']"
96,m/10008562-road_to_victory,Road to Victory,2007,2016,Fresh,Upright,"['Art House & International', 'Drama', 'Sports & Fitness']"
97,m/10008587-beverly_hills_chihuahua,Beverly Hills Chihuahua,2008,2015,Rotten,Spilled,['Comedy']
98,m/10008601-fireflies_in_the_garden,Fireflies in the Garden,2011,2014,Rotten,Spilled,['Drama']
99,m/10008606-eye,The Eye,2008,2016,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
100,m/10008607-day_of_the_dead,Day of the Dead,2008,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
101,m/10008611-my_best_friends_girl,My Best Friend's Girl,2008,2016,Rotten,Spilled,"['Comedy', 'Drama']"
102,m/10008613-burrowers,The Burrowers,2008,2016,Fresh,Spilled,"['Horror', 'Mystery & Suspense', 'Western']"
103,m/10008617-midnight_meat_train,The Midnight Meat Train,2008,2016,Fresh,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
104,m/10008618-return,The Lucky Ones,2008,2016,Rotten,Spilled,"['Comedy', 'Drama']"
105,m/10008621-run_fat_boy_run,Run Fatboy Run,2007,2010,Rotten,Upright,['Comedy']
106,m/10008652-closing_escrow,Closing Escrow,2007,2016,Rotten,Spilled,['Comedy']
107,m/10008655-whiteout,Whiteout,2009,2011,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
108,m/10008661-randy_and_the_mob,Randy and the Mob,2007,2017,Rotten,Spilled,"['Comedy', 'Documentary']"
109,m/10008667-black_irish,Black Irish,2007,2020,Rotten,Spilled,['Drama']
110,m/10008678-wild_child,Wild Child,2008,2014,Rotten,Upright,['Comedy']
111,m/10008687-powder_blue,Powder Blue,2009,2017,Rotten,Spilled,['Drama']
112,m/10008698-king_corn,King Corn,2007,2016,Fresh,Upright,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
113,m/10008699-terrors_advocate,L' Avocat de la Terreur (Terror's Advocate),2007,2016,Certified-Fresh,Upright,"['Art House & International', 'Documentary', 'Special Interest']"
114,m/10008700-darfur_now,Darfur Now,2007,2008,Fresh,Upright,"['Documentary', 'Drama', 'Musical & Performing Arts', 'Special Interest']"
115,m/10008701-laaga_chunari_mein_daag,Laaga Chunari Mein Daag - Journey of a Woman,2007,2017,Rotten,Spilled,"['Art House & International', 'Drama']"
116,m/10008703-rails_and_ties,Rails & Ties,2007,2009,Rotten,Spilled,['Drama']
117,m/10008705-mr_untouchable,Mr. Untouchable,2007,2017,Fresh,Spilled,['Documentary']
118,m/10008706-house,House,2008,2016,Rotten,Spilled,"['Drama', 'Horror', 'Mystery & Suspense']"
